scorer,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000
bodyparts,Head,Head,Head,Mid,Mid,Mid,Tail,Tail,Tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
113,125.08792114257812,405.0749816894531,0.0006122050108388066,139.18112182617188,403.15753173828125,0.00019362960301805288,122.77523040771484,409.6938171386719,0.0008125586318783462
114,124.38300323486328,405.0749816894531,0.0002380788791924715,139.18112182617188,403.15753173828125,6.56710981274955e-05,122.77523040771484,412.081298828125,0.0003106054791714996
115,122.52705383300781,405.0749816894531,0.00032114461646415293,139.39930725097656,402.7032165527344,0.0001095571496989578,123.18447875976562,412.240478515625,0.0004586489812936634
116,-0.6998691558837891,4.301207065582275,4.195336805423722e-05,139.39930725097656,5.161501407623291,1.3477922038873658e-05,255.79356384277344,435.49139404296875,1.755516314005945e-05
117,-0.7536830902099609,4.174586772918701,4.287517731427215e-05,264.8622131347656,5.0597429275512695,1.2171648450021166e-05,255.79356384277344,435.49139404296875,2.013856646954082e-05
118,-0.7536830902099609,4.174586772918701,4.784037446370348e-05,264.8622131347656,5.0597429275512695,1.340346261713421e-05,255.79356384277344,435.49139404296875,1.5724046534160152e-05
119,-0.6998691558837891,4.174586772918701,5.7567540352465585e-05,264.8622131347656,5.161501407623291,1.3101431250106543e-05,123.12956237792969,415.45367431640625,2.0339681213954464e-05
120,121.43010711669922,405.0685729980469,0.009348008781671524,140.19606018066406,404.2427062988281,0.0005167168565094471,123.01197052001953,408.3694763183594,0.0069967047311365604
121,121.72471618652344,405.1734619140625,0.008333004079759121,140.19606018066406,413.8077697753906,0.000413630623370409,123.01197052001953,408.3555908203125,0.009418477304279804
122,123.96038055419922,406.8094177246094,0.023524392396211624,140.19606018066406,414.1177062988281,0.0017069913446903229,123.12956237792969,407.938720703125,0.05491485074162483
123,124.29444122314453,407.3907775878906,0.059248972684144974,140.19606018066406,414.1177062988281,0.005652324296534061,123.28756713867188,407.86328125,0.1897285133600235
124,124.29444122314453,407.3907775878906,0.07412054389715195,140.19606018066406,415.4799499511719,0.009181895293295383,123.28756713867188,407.86328125,0.24680103361606598
125,124.29444122314453,407.3907775878906,0.07680913805961609,139.91563415527344,415.4799499511719,0.0048699770122766495,123.28756713867188,407.89984130859375,0.18992871046066284
126,124.2153091430664,406.98333740234375,0.016299815848469734,139.21121215820312,415.61492919921875,0.000632053182926029,123.13778686523438,407.8589172363281,0.02002437226474285
127,124.2153091430664,406.98333740234375,0.015146645717322826,139.21121215820312,415.61492919921875,0.0006577552412636578,123.13778686523438,407.89984130859375,0.015450425446033478
128,124.2153091430664,406.98333740234375,0.024540340527892113,139.21121215820312,415.61492919921875,0.0017368384869769216,123.12728118896484,408.018310546875,0.0940290316939354
129,124.2153091430664,406.98333740234375,0.03229265287518501,141.5255126953125,413.8552551269531,0.003210777649655938,123.13778686523438,408.0994567871094,0.14038269221782684
130,124.2153091430664,407.0863342285156,0.01248805969953537,141.67129516601562,413.5476379394531,0.0014229686930775642,123.141357421875,408.0994567871094,0.052994586527347565
131,124.33439636230469,407.26312255859375,0.014382281340658665,141.71487426757812,413.5476379394531,0.0013772359816357493,123.17903137207031,408.1788024902344,0.057218052446842194
132,124.33439636230469,407.26312255859375,0.015620998106896877,141.73062133789062,413.5476379394531,0.0015932612586766481,123.17903137207031,408.1980285644531,0.07450167089700699
133,124.826904296875,407.5828857421875,0.03022489883005619,142.1173858642578,414.03265380859375,0.003051021369174123,123.66143035888672,408.1980285644531,0.09937086701393127
134,124.826904296875,407.7825927734375,0.024364080280065536,142.35765075683594,414.0443115234375,0.003268564585596323,123.70417785644531,408.25604248046875,0.08885197341442108
135,124.826904296875,408.14984130859375,0.16672667860984802,142.46676635742188,414.1541748046875,0.036586370319128036,123.9063720703125,408.246337890625,0.4036742150783539
136,124.90206146240234,408.369140625,0.28929826617240906,142.5255584716797,414.2008056640625,0.14187057316303253,124.10015106201172,408.34765625,0.6482899188995361
137,124.90206146240234,408.369140625,0.4833359122276306,142.46676635742188,414.2008056640625,0.1721922755241394,124.15155029296875,408.255126953125,0.5737699866294861
138,124.81488800048828,408.369140625,0.5192517042160034,142.46676635742188,414.2008056640625,0.43124842643737793,124.10015106201172,408.255126953125,0.6525996923446655
139,124.81488800048828,408.3559875488281,0.32492595911026,142.46676635742188,414.2629089355469,0.1457025110721588,124.0385513305664,408.246337890625,0.6426601409912109
140,124.81488800048828,407.92034912109375,0.36529049277305603,142.2819366455078,415.02484130859375,0.03983909636735916,124.0385513305664,407.9115295410156,0.34682226181030273
141,122.9352035522461,406.93206787109375,0.023681290447711945,140.4282989501953,415.0783386230469,0.0014074852224439383,122.59442901611328,407.6662902832031,0.019603481516242027
142,122.7835922241211,406.5186462402344,0.08308784663677216,140.32833862304688,415.2907409667969,0.01632016710937023,122.3145980834961,407.582763671875,0.635456919670105
143,120.98738861083984,405.89776611328125,0.14248573780059814,140.32833862304688,415.0783386230469,0.01568661816418171,122.21919250488281,407.582763671875,0.6147555708885193
144,119.93999481201172,405.89776611328125,0.03081400692462921,140.32833862304688,415.0783386230469,0.004464421421289444,121.515625,407.582763671875,0.19684648513793945
